index,name,airmass,jd,mag04,mag05,mag06,mag07,mag08,mag09,mag10,mag11,mag12,mag13,mag14,mag15,magerr04,magerr05,magerr06,magerr07,magerr08,magerr09,magerr10,magerr11,magerr12,magerr13,magerr14,magerr15
30,J030429.569+060119.575,1.920000,58427.192639,-9.1413,-9.4564,-9.6702,-9.8205,-9.9329,-10.0118,-10.0648,-10.1029,-10.1319,-10.1544,-10.1727,-10.2032,0.0487,0.0451,0.0444,0.0448,0.0462,0.0481,0.0509,0.0539,0.0572,0.0606,0.0642,0.0667
76,J030430.261+055529.607,1.920000,58427.192639,-10.3612,-10.6875,-10.9086,-11.0565,-11.1616,-11.2292,-11.2768,-11.3128,-11.3400,-11.3580,-11.3674,-11.3683,0.0167,0.0153,0.0148,0.0149,0.0154,0.0161,0.0170,0.0181,0.0191,0.0203,0.0216,0.0231
122,J030430.441+055206.996,1.920000,58427.192639,-8.4654,-8.7946,-9.0293,-9.1962,-9.3236,-9.4058,-9.4739,-9.5584,-9.6154,-9.6778,-9.7404,-9.7699,0.0896,0.0821,0.0793,0.0790,0.0805,0.0835,0.0873,0.0886,0.0918,0.0937,0.0953,0.0992
49,J030430.997+061306.834,1.920000,58427.192639,-10.0260,-10.3583,-10.5907,-10.7583,-10.8859,-10.9672,-11.0199,-11.0634,-11.0873,-11.1021,-11.1115,-11.1217,0.0223,0.0204,0.0196,0.0194,0.0196,0.0204,0.0214,0.0226,0.0240,0.0256,0.0272,0.0289
20,J030431.101+060649.488,1.920000,58427.192639,-10.5538,-10.8935,-11.1285,-11.2849,-11.3981,-11.4784,-11.5349,-11.5704,-11.5946,-11.6108,-11.6221,-11.6315,0.0142,0.0129,0.0123,0.0123,0.0125,0.0130,0.0135,0.0144,0.0152,0.0162,0.0172,0.0182
83,J030431.196+061533.980,1.920000,58427.192639,-9.7624,-10.0890,-10.3248,-10.4715,-10.5753,-10.6520,-10.7151,-10.7558,-10.7812,-10.8027,-10.8264,-10.8459,0.0281,0.0256,0.0247,0.0250,0.0259,0.0270,0.0282,0.0298,0.0317,0.0335,0.0353,0.0371
101,J030434.596+055329.239,1.920000,58427.192639,-8.7590,-9.1293,-9.3850,-9.5579,-9.6533,-9.7122,-9.7542,-9.7640,-9.7435,-9.6817,-9.6483,-9.6812,0.0682,0.0608,0.0573,0.0571,0.0594,0.0632,0.0675,0.0735,0.0815,0.0935,0.1036,0.1077
16,J030436.191+060223.617,1.920000,58427.192639,-8.7223,-9.0903,-9.2999,-9.4624,-9.5805,-9.6673,-9.7004,-9.7414,-9.8005,-9.8667,-9.8926,-9.8992,0.0703,0.0628,0.0619,0.0622,0.0634,0.0659,0.0708,0.0750,0.0774,0.0789,0.0828,0.0882
18,J030436.805+060840.011,1.920000,58427.192639,-9.1785,-9.5201,-9.7458,-9.8615,-9.9301,-9.9893,-10.0359,-10.0617,-10.0790,-10.0880,-10.0654,-10.0321,0.0469,0.0428,0.0414,0.0433,0.0463,0.0492,0.0522,0.0560,0.0600,0.0644,0.0708,0.0781
8,J030436.899+060436.529,1.920000,58427.192639,-9.4155,-9.7355,-9.9607,-10.1040,-10.2194,-10.2989,-10.3525,-10.3846,-10.3906,-10.3922,-10.4092,-10.4376,0.0381,0.0351,0.0342,0.0347,0.0356,0.0371,0.0392,0.0417,0.0452,0.0488,0.0517,0.0538
31,J030437.586+061059.442,1.920000,58427.192639,-10.7635,-11.0970,-11.3398,-11.4920,-11.6056,-11.6733,-11.7136,-11.7344,-11.7567,-11.7732,-11.7835,-11.7869,0.0120,0.0108,0.0103,0.0102,0.0105,0.0109,0.0116,0.0124,0.0132,0.0140,0.0149,0.0158
